sl_no,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,140105686,SYSC llc,14:57.3,2020,2960623488,00:00.0,00:00.0,00:00.0,CA10,2606.763,0-15
1,U001,200744019,TARG us,13:57.1,2020,1930659387,00:00.0,00:00.0,00:00.0,NAA8,11173.02,0-15
2,U001,200418007,AM ,32:31.0,2020,1930610806,00:00.0,00:00.0,00:00.0,NAA8,3525.59,0-15
3,U001,200739534,OK systems,12:44.0,2020,1930788296,00:00.0,00:00.0,00:00.0,NAA8,121105.65,0-15
4,U001,200353024,DECA corporation,08:50.7,2020,1930817482,00:00.0,00:00.0,00:00.0,NAM2,3726.06,
5,U001,200744019,TARG associates,35:42.6,2020,1930676042,00:00.0,00:00.0,00:00.0,NAA8,5893.01,0-15
6,CA02,140106408,WAL-M corp,28:31.1,2020,2960618790,00:00.0,00:00.0,00:00.0,CA10,73337.4933,16-30
7,U001,200337148,COAS llc,05:36.7,2020,1930592246,00:00.0,00:00.0,00:00.0,NAA8,11380.83,
8,U001,200794332,COST associates,00:12.5,2020,1930731070,00:00.0,00:00.0,00:00.0,NAAX,3863.93,
9,U001,200794332,COST llc,40:53.0,2020,1930803605,00:00.0,00:00.0,00:00.0,NAAX,74453.01,0-15
10,U001,200803720,DEC corp,45:27.5,2020,1930698352,00:00.0,00:00.0,00:00.0,NAM4,138.6,
11,U001,200794332,COST co,50:45.3,2020,1930647189,00:00.0,00:00.0,00:00.0,NAAX,32715.47,
12,U001,200020431,DEC us,35:00.3,2020,1930861637,00:00.0,00:00.0,00:00.0,NAM4,174.72,
13,U001,200769623,WAL-MAR associates,39:35.7,2020,1930635649,00:00.0,00:00.0,00:00.0,NAH4,767.78,
14,CA02,140105785,SHOPPE foundation,52:50.6,2020,2960624627,00:00.0,00:00.0,00:00.0,CA10,2235.384,0-15
15,U001,200769623,WAL-MAR ,40:53.9,2020,1930577078,00:00.0,00:00.0,00:00.0,NAH4,14514.68,0-15
16,U001,200769623,WAL-MAR foundation,07:33.3,2020,1930774741,00:00.0,00:00.0,00:00.0,NAH4,55400.31,0-15
17,U001,200772670,ASSOCIAT corporation,05:01.5,2020,1930765053,00:00.0,00:00.0,00:00.0,NAU5,174766.36,0-15
18,U001,200900909,SYSCO systems,55:13.3,2020,1930645969,00:00.0,00:00.0,00:00.0,NA32,31512.75,0-15
19,U001,200769623,WAL-MAR systems,39:55.1,2020,1930718081,00:00.0,00:00.0,00:00.0,NAH4,19701.55,0-15
20,U001,200726979,BJ'S  trust,25:25.2,2020,1930788667,00:00.0,00:00.0,00:00.0,NAA8,132.72,
21,U001,200769623,WAL-MAR llc,00:18.5,2020,1930709919,00:00.0,00:00.0,00:00.0,NAH4,1121.15,0-15
22,U001,200769623,WAL-MAR llc,40:18.6,2020,1930752568,00:00.0,00:00.0,00:00.0,NAH4,11394.84,0-15
23,CA02,140105847,GORDON F co,48:41.5,2020,2960627274,00:00.0,00:00.0,00:00.0,CA10,2911.308,0-15
24,U001,200744019,TARG foundation,15:45.2,2020,1930648342,00:00.0,00:00.0,00:00.0,NAA8,52123.3,16-30
25,U001,200769623,WAL-MAR systems,40:18.6,2020,1930632791,00:00.0,00:00.0,00:00.0,NAH4,14994.01,0-15
26,U001,200769623,WAL-MAR llc,35:14.6,2020,1930617194,00:00.0,00:00.0,00:00.0,NAH4,36.06,0-15
27,U001,200418007,AM in,06:36.0,2020,1930752243,00:00.0,00:00.0,00:00.0,NAA8,25836.19,0-15
28,U001,200739006,AL foundation,16:46.0,2020,1930768064,00:00.0,00:00.0,00:00.0,NAA8,4309.05,31-45
29,U001,100031704,DELHAIZE associates,08:47.5,2020,1930789873,00:00.0,00:00.0,00:00.0,NAA8,70181.07,
30,U001,200769623,WAL-MAR trust,56:41.9,2020,1930705172,00:00.0,00:00.0,00:00.0,NAH4,3403.8,0-15
31,U001,200744019,TARG systems,05:20.1,2020,1930620634,00:00.0,00:00.0,00:00.0,NAGD,10665.53,0-15
32,U001,200769623,WAL-MAR ,53:34.7,2020,1930676002,00:00.0,00:00.0,00:00.0,NAH4,7280.51,0-15
33,U001,200726979,BJ'S  corporation,06:48.1,2020,1930585378,00:00.0,00:00.0,00:00.0,NAA8,13681.7,
34,U001,200706844,WINC associates,07:34.3,2020,1930773419,00:00.0,00:00.0,00:00.0,NAA8,33947.85,0-15
35,U001,200793830,M llc,42:24.5,2020,1930767747,00:00.0,00:00.0,00:00.0,NAA8,4537.14,0-15
36,U001,200769623,WAL-MAR foundation,40:18.6,2020,1930750455,00:00.0,00:00.0,00:00.0,NAH4,14355.96,0-15
37,U001,200769623,WAL-MAR systems,53:52.9,2020,1930738904,00:00.0,00:00.0,00:00.0,NAH4,367.71,0-15
38,U001,200769623,WAL-MAR trust,38:40.1,2020,1930862467,00:00.0,00:00.0,00:00.0,NAH4,56284.77,0-15
39,U001,200769623,WAL-MAR systems,26:15.6,2020,1930582162,00:00.0,00:00.0,00:00.0,NAH4,50493.86,0-15
40,U001,200769623,WAL-MAR llc,19:26.1,2020,1930802490,00:00.0,00:00.0,00:00.0,NAH4,15489.43,0-15
41,CA02,140104423,METRO  llc,24:10.5,2020,2960617050,00:00.0,00:00.0,00:00.0,CA10,105159.5544,0-15
42,U001,200726979,BJ'S  systems,46:41.5,2020,1930801417,00:00.0,00:00.0,00:00.0,NAA8,360.33,0-15
43,U001,200743996,STATER  llc,12:02.7,2020,1930660304,00:00.0,00:00.0,00:00.0,NAGD,3826.03,0-15
44,U001,200752302,KROGER trust,09:28.2,2020,1930733767,00:00.0,00:00.0,00:00.0,NAA8,96674.05,0-15
45,CA02,140105686,SYSC llc,43:35.6,2020,2960633120,00:00.0,00:00.0,00:00.0,CA10,48788.4803,0-15
46,U001,200711029,WEGMAN corp,31:48.4,2020,1930742932,00:00.0,00:00.0,00:00.0,NAA8,14382.22,0-15
47,CA02,CCU001,KRAFT  corporation,41:36.9,2020,2960622220,00:00.0,00:00.0,00:00.0,NAG2,20120.2493,0-15
48,U001,200769623,WAL-MAR llc,57:57.3,2020,1930804924,00:00.0,00:00.0,00:00.0,NAH4,35509.95,0-15
49,U001,200769623,WAL-MAR associates,44:37.9,2020,1930746955,00:00.0,00:00.0,00:00.0,NAH4,13512.61,0-15
50,U001,200772670,ASSOCIAT corp,50:52.8,2020,1930698156,00:00.0,00:00.0,00:00.0,NAU5,24421.33,
51,U001,200769623,WAL-MAR co,31:16.5,2020,1930801200,00:00.0,00:00.0,00:00.0,NAH4,11217.33,0-15
52,U001,200769623,WAL-MAR systems,46:17.5,2020,1930776682,00:00.0,00:00.0,00:00.0,NAH4,12554.13,0-15
53,U001,200720238,WOODM co,00:42.1,2020,1930858727,00:00.0,00:00.0,00:00.0,NAA8,126919.03,0-15
54,CA02,140106408,WAL-M in,57:54.7,2020,2960631200,00:00.0,00:00.0,00:00.0,CA10,32206.8148,16-30
55,U001,200769623,WAL-MAR co,52:11.3,2020,1930729999,00:00.0,00:00.0,00:00.0,NAH4,24834.9,
56,U001,200769623,WAL-MAR us,35:50.4,2020,1930653060,00:00.0,00:00.0,00:00.0,NAH4,50202.83,0-15
57,U001,200769623,WAL-MAR us,22:15.2,2020,1930715979,00:00.0,00:00.0,00:00.0,NAH4,8299.7,
58,U001,200799367,MCL corporation,23:12.7,2020,1930673430,00:00.0,00:00.0,00:00.0,NAA8,51602.13,0-15
59,U001,200759878,SA co,45:07.5,2020,1930783249,00:00.0,00:00.0,00:00.0,NAH4,18900.99,0-15
60,U001,200794332,COST corp,07:19.7,2020,1930638145,00:00.0,00:00.0,00:00.0,NAAX,49467.7,0-15
61,U001,200515231,US  us,56:21.4,2020,1930768145,00:00.0,00:00.0,00:00.0,NAA8,10187.66,0-15
62,U001,200782669,SYGMA corp,16:14.7,2020,1930636977,00:00.0,00:00.0,00:00.0,NAA8,237.4,0-15
63,U001,200769623,WAL-MAR foundation,46:17.5,2020,1930882979,00:00.0,00:00.0,00:00.0,NAH4,11532.84,0-15
64,U001,200769623,WAL-MAR ,01:34.0,2020,1930692833,00:00.0,00:00.0,00:00.0,NAH4,20017.92,0-15
65,U001,200331749,SYSC foundation,10:32.5,2020,1930579080,00:00.0,00:00.0,00:00.0,NAA8,5320.85,0-15
